MemberCommentId,PreProcessedBody
119750D0-E176-40FB-ABE8-0ECFA173095F,کیفیت خاص هستید پیشنهاد نمی‌کنم من‌‌هات داگ ویژه کراکف ماشروم سفارش دادم اولا فست فواد می‌آید ادعا می‌کند فقط‌‌هات داگ می‌زند بیایند تخصصش‌هات داگه اصلا قابل قبول نیست از‌‌هات داگ‌های پنیری معمولی بازار استفاده کند قطعا قیمتی می‌گیرد سعی کند سوسیس و‌‌هات داگشو درست کند ضمن سیب‌زمینی ظاهرش قشنگ بود سیب‌زمینی آماده‌‌ها بود سوسیس دادی کاملا معمولی معمولی
0C9B0F2D-AF67-420F-B91C-0EDA62DDF371,بد‌ترین برگری عمرم خوردم
977FDA96-D3FD-46AC-899A-05B215D9FDF2,تقریبا گران هست حجم غذا خوب هست شنیده بودم کم هست زیاد آمد تراس خوشگلی دارد رفتار پرسنل خوب بود دوغش دوست ندارم چون سلیقه ای هست بوی کپک می‌داد سینی مزه عالی بود عکسش گذاشتم سیر داشتیم می‌شدیم کباب‌ها ماهی‌‌های خوشمزه‌ای دارد نظرم جای ایراد گرفتن نداشت فقط نمی دوانم گارسون هست اول آخر جلوی ایستاده بود
0B95EC9E-33A1-4C26-961D-09E5DD8CAC9F,خیلی جالب هست قدر تعریف‌شده سالاد سزار رستوران حالی تجربه شخصی بنده کاملا متفاوت بود نظری دوستان رستوران داشتند متاسفانه اکثریت جامعه پنیر پیتزا پسند عاشق غذا‌های چرب هستند رستوران سنسو نظرم خیلی خوب توانسته تقاضا برآورده بکند قبلا کیفیت مناسب‌تری آرایه می‌کرد تازگی شاهد افت کیفیت هستیم دور انتظار نیست کم پیش می‌آید رستورانی بعد گرفتن مشتری‌‌های زیاد کیفیت حفظ کند سزار سس چربش بد نوشیدنی مخصوص همان ماهیت واقعا حد سنسو نبود فیل هست پارمژان پر پنیر البته پنیر سوخاری کامل زدم بتوانم بخورم
F4B8CAC4-B31D-4009-84C4-055B0405E094,برخورد پرسنل خیلی بد بود بیکار نشسته بودن صورت حساب نیاوردن قیمت خیلی بالا بود نسبت حجم غذا مخصوصا سیب‌زمینی سس باربیکیو پیتزا پپرونیش خوب بود
FEAFC109-B175-402D-B6DF-0A24181CD4BD,پیتزا مخصوص کیفیت مواد استفاده‌شده تازه نبود نان سیر خوب نبود سیری استفاده شده بود تازه رنده نشده بود مانده بود سبز شده بود سالاد سزار سوخاری تعریفی شنیده بودم اصلا خوب نبود مرغ سوخاریش تازه نبود کلی نظر کیفیتی متوسط بود
27FAF181-0F95-4F14-80FF-0A5158CEA012,عصر استفاده امکانات کافه رفتیم خانه قدیمی مهیاشده اینکار درونش کلی می‌شود نوستالژی بازی کرد دمنوش سفارش دادیم‌هات چاکلت قهوه وافل کیک‌های روزش شکلاتی هویج بود نبود خودشان اعلام می‌کردند کیفیت سفارش‌هایمان راضی بودیم لیوان چای قهوه شیرینی کرکی سنتی سرو می‌کنند شکلات بسته‌بندی عمارت خانه پدری دارد رفتار پرسنل بسیار محبت امیز احترام هست تنها مشکلی بود چون فضای داخل بودیم بخاطر سرما دوبار رفتیم حیاط بزنیم لذت بصری ببریم هربار متاسفانه یکی پرسنل آمد پشت سر ایستاد بنظرم قسمتش فقط دور انتظار بود راستی قیمت‌ها متعارف کافه‌‌های اینچنینی هست هرمیزی بنام بازیگر خارجی هست علتش نفهمیدیم وسط هفته خیلی فضای شلوغی نیست
232413E7-C1FF-4925-89DC-0001CD8F7D8C,نظر البرز زمانی خیلی چشم بود رقیب‌های قدری صنف وارد نشده بودن رقابت شدید البرز حرفی گفتن ندارد چون همین کیفیت بالا‌تر می‌توانی خیلی کم‌تر هزینه کنید امید واروم البرز مقدار جیب مردمان محترم توجه داشتهباشه نفعش ببرد سالیانی هست موقع هوس کباب درجه کنیم حوالی جردن میریم کار خودشان می‌دانند منظورم رستوران هست ممنون فیدیلیو
06A5FCE8-81D6-4629-B7AF-04FF0B75080B,بعضی غذا‌ها چیکن برگر چیکن کرم بد نیست کلا کیفیت غذا‌‌ها فوق‌العاده نیست سالاد‌‌هایش ظرف پلاستیکی سرو می‌شود اصلا خوشمزه نیست اب پرتقال طبیعی خیلی خوبی دارد
8E7D52E6-8537-4180-ACF7-0F1F12980149,سفارش امیرپاشا رستوران رزماری
